doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1007/s12053-012-9164-8,Scheer_Clancy_NiHogain_2013,energy,21,percent,measured,"gas consumption -21% (3664 +/- 603 kWh/yr) vs matched control group, 2008 to 2010, first year post-retrofit; shortfall of 36 +/- 8% vs ex-ante engineering estimate of 5676 kWh","Springer abstract page fetched (link.springer.com/article/10.1007/s12053-012-9164-8)"
10.1007/s12053-015-9418-3,Adan_Fuerst_2016,energy,10.5,percent,measured,"annual gas -10.5% (total energy -8.0%) in year after cavity wall insulation alone; boiler alone gas -4.1%; loft insulation alone gas -3.1%; difference-in-difference on NEED metered data","Springer full text fetched (link.springer.com/article/10.1007/s12053-015-9418-3)"
10.1007/s12053-015-9418-3,Adan_Fuerst_2016,energy,13.3,percent,measured,"cavity wall insulation plus new efficient boiler: gas -13.3% and total energy -13.5% in year after installation (largest reduction of all bundles)","Springer full text fetched (link.springer.com/article/10.1007/s12053-015-9418-3)"
10.1007/s12053-018-9634-8,Filippidou_Nieboer_Visscher_2019,energy,10.6,kwh,measured,"actual gas savings ~10.6 kWh/m2/yr from heating-system measure and ~7.3 kWh/m2/yr from glazing (regression coefficients; Dutch non-profit housing 2010-2014); predicted savings over-predicted by 52% (2 measures) to 163% (7 measures)","Springer full text fetched (link.springer.com/article/10.1007/s12053-018-9634-8)"
10.1016/0143-6228(85)90005-0,Brown_Macey_1985,none,,,,"no quantitative realized-savings value found in fetched content; review reports storm windows/doors gave lowest savings and were least cost-effective in the two midwestern-city programs; abstract unavailable via Crossref/OpenAlex/Semantic Scholar","Giandomenico Papineau & Rivers working paper + published review (both fetched)"
10.1016/0360-1323(85)90024-1,Hirst_Goeltz_1985,none,,,,"actual gas savings below audit predictions; deviations >+/-50% of audit estimate in 55% of Minnesota homes and measured savings ~2/3 of predicted across such programs; no % of pre-retrofit consumption fetched","ACEEE 1988 proceedings paper citing Hirst & Goeltz (fetched, aceee.org); Giandomenico WP Table 6 (RCS realization rate 85%)"
10.1016/0360-5442(84)90107-5,Hirst_Bronfman_Goeltz_Trimble_Lerman_Keating_1984,energy,12.7,percent,measured,"BPA Residential Weatherization Pilot: program-level weighted electricity savings 12.7% of consumption (n=1409 treated homes); study compared audit-only vs audit+zero-interest-loan groups","Giandomenico et al. working paper Table 3 (fetched, institute.smartprosperity.ca)"
10.1016/0360-5442(88)90085-0,Goldman_Greely_Harris_1988,energy,15,percent,measured,"median savings ~14-16% of pre-retrofit consumption (midpoint 15 reported): 1450 kWh/unit in electric-heat and 14 MBtu/unit in fuel-heat US multifamily buildings (BECA database, >25000 units)","publisher abstract via RePEc/IDEAS (fetched)"
10.1016/0360-5442(95)00027-e,Brown_Berry_1995,energy,13,percent,measured,"natural-gas-heated dwellings: -13.0% of total gas consumption (= 18.3% of space-heating consumption; 17.3 MBtu/yr per dwelling), 1989 national WAP evaluation","ORNL metaevaluation report quoting the National Evaluation (OSTI, doi:10.2172/548845, fetched)"
10.1016/0378-7788(85)90018-0,Hirst_White_Goeltz_McKinstry_1985,energy,12.7,percent,measured,"BPA pilot program-level weighted electricity savings 12.7%; actual savings below audit predictions; +0.32 kWh/yr extra saving per 1 kWh/yr higher pre-program use; pilot realization rate 66%","Giandomenico working paper Tables 3 and 6 plus review text (fetched)"
10.1016/0378-7788(85)90022-2,Goldman_1985,energy,24,percent,measured,"BECA-B compilation median space-heat savings as % of pre-retrofit space heating: 24% utility-sponsored programs, 22% low-income weatherization, 22% research studies, 22% multifamily buildings","ACEEE 1984 BECA-B conference paper PDF (fetched, aceee.org); companion ASHRAE record: savings typically 20-30% of pre-retrofit space heating (OSTI 6971021, fetched)"
10.1016/0378-7788(86)90005-8,Goldberg_1986,none,,,,"no per-study quantitative realized value found in fetched content (Wisconsin low-income weatherization, ~1000 homes, PRISM weather-normalized billing); included in review's WAP program aggregate (12% weighted savings)","Giandomenico working paper (fetched); Fels 1986 PRISM introduction (fetched, no % given)"
10.1016/0378-7788(86)90008-3,Hewett_1986,none,,,,"measured savings below audit predictions; furnace retrofit realization rate 78% (realized = 78% of predicted savings); no savings % of pre-retrofit consumption found","Giandomenico et al. 2022 published review text (fetched)"
10.1016/0378-7788(86)90010-1,Goldman_Ritschard_1986,energy,8,percent,measured,"San Francisco Housing Authority public-housing retrofit: program-level weighted gas savings 8% (n=1822 units)","Giandomenico working paper Table 3 (fetched)"
10.1016/0378-7788(89)90014-5,Hirst_Goeltz_Trumble_1989,energy,14,percent,measured,"electricity -2600 kWh/yr = 14% of pre-HRCP consumption (1982/83 vs 1985/86); electrically-heated single-family homes saved 4000-4500 kWh/yr; savings less than half of audit predictions; ~1/5 of savings lost to takeback","ScienceDirect abstract (fetched via search) + OSTI report doi:10.2172/6880640 (fetched)"
10.1016/0378-7788(89)90017-0,Brown_White_Purucker_1989,none,,,,"measured water-heater retrofit savings at Hood River; cost of conserved energy 0.39 cents/kWh (1984$) per review Table 6; no kWh or % savings value in fetched content","Giandomenico working paper Table 6 (fetched)"
10.1016/0378-7788(89)90019-4,Lee_Englin_1989,none,,,,"no quantitative realized value found in fetched content; review notes insulation among higher-saving measures in manufactured-home conservation retrofits","Giandomenico et al. 2022 review (fetched)"
10.1016/0378-7788(91)90012-r,Cohen_Goldman_Harris_1991,energy,16.5,percent,measured,"annual consumption savings 12-21% (midpoint 16.5 reported) from loft and wall insulation; simple before/after billing comparison without control group","Adan & Fuerst 2016 Springer full text quoting Cohen et al. 1991 (fetched)"
10.1016/0378-7788(93)90035-s,Burch_1993,none,,,,"realized savings well below engineering predictions; Colorado WAP realization rate ~70% per review Table 6; small sample (36 homes), 75% attrition, no control group; no savings % of pre-retrofit consumption fetched","Giandomenico working paper Table 6 and review text (fetched)"
10.1016/j.egypro.2017.07.348,Khoury_Alameddine_Hollmuller_2017,none,,,,"performance-gap decomposition of Geneva multifamily building retrofits (measured vs simulated consumption); fetched abstract quantifies no realized-savings value","Semantic Scholar abstract (fetched)"
10.1016/j.enbuild.2006.01.007,Hong_Oreszczyn_Ridley_2006,energy,10,percent,measured,"space-heating fuel consumption -10% in centrally heated dwellings after cavity wall + loft insulation (Warm Front monitored field study, 1372 dwellings)","Adan & Fuerst 2016 Springer full text quoting Hong et al. 2006 (fetched)"
10.1016/j.enbuild.2006.01.007,Hong_Oreszczyn_Ridley_2006,energy,17,percent,measured,"space-heating fuel consumption -17% in non-centrally heated dwellings after cavity wall + loft insulation","Adan & Fuerst 2016 Springer full text quoting Hong et al. 2006 (fetched)"
10.1016/j.enbuild.2010.05.030,Hens_2010,none,,,,"long-term monitored single-house retrofit showed net decrease in space-heating energy but classic efficiency measures delivered 28% less avoided energy than predicted (direct rebound); no % of pre-retrofit consumption in fetched abstract","ScienceDirect abstract (fetched via search)"
10.1016/j.enbuild.2016.05.020,Cali_Osterhage_Streblow_Muller_2016,none,,,,"energy performance gap (measured vs calculated consumption) averaged +117% (2011), +107% (2012), +41% (2013), +60% (2014) across retrofitted field-test buildings, up to 287% based on calculated savings; realized-savings % not reported in fetched abstract","DTU Orbit record and ScienceDirect abstract (fetched)"
10.1016/j.enbuild.2018.10.025,vandenBrom_Meijer_Visscher_2019,none,,,,"~90000 renovated Dutch social-housing dwellings: 57% saved less than predicted, 40% more, 3% well predicted; deep renovations gave highest average actual savings; actual savings reported only as MJ/m2 in figures, no extractable % of pre-retrofit consumption","Semantic Scholar abstract (fetched) + TU Delft IEBB report on Van den Brom analysis (fetched)"
10.1016/j.enbuild.2020.110235,Cozza_Chambers_Deb_Scartezzini_Schluter_Patel_2020,none,,,,"1172 retrofitted Swiss buildings: theoretical predictions overestimate achievable savings by 37% (Energy Savings Deficit); performance gap -23% pre-retrofit and +2% post-retrofit; realized-savings % of consumption not in fetched abstract","Semantic Scholar abstract (fetched)"
10.1016/j.enpol.2012.11.008,Majcen_Itard_Visscher_2013,none,,,,"cross-sectional performance-gap study (~200000 labelled dwellings), not a retrofit-savings evaluation: poor-label dwellings consume much less than theoretical (label G calculated nearly double actual) and efficient dwellings more","ScienceDirect abstract and Majcen PhD thesis (both fetched)"
10.1016/j.enpol.2013.04.004,Hamilton_2013,energy,9.2,percent,measured,"gas demand change 2005-2007 net of control-group trend: cavity wall insulation -9.2 points, condensing boiler -8.0, loft insulation -1.3, double glazing -1.6 (HEED linked meter data, retrospective case-control)","ScienceDirect full text (fetched)"
10.1016/j.enpol.2013.05.037,Wyatt_2013,energy,16.5,percent,measured,"median realized gas savings 13.5-19.5% (midpoint 16.5 reported) for cavity wall insulation and new condensing boiler; loft insulation 8.4-12.2%; year after installation (HEED annualized meter data)","Adan & Fuerst 2016 Springer full text quoting Wyatt 2013 (fetched)"
10.1016/j.enpol.2016.07.015,Majcen_Itard_Visscher_2016,none,,,,"actual gas savings on average ~1/3 lower than predicted and often ~half of predicted per measure; e.g. window upgrade U8->U1 saved 357 m3/yr gas vs 966 m3/yr predicted; heating+DHW replacement realized ~2/3 of theoretical; no % of pre-retrofit consumption reported","Majcen PhD thesis ch.5 (journal version of this paper), TU Delft repository (fetched)"
10.1016/j.enpol.2018.03.051,Tonn_Rose_Hawkins_2018,energy,17.8,percent,measured,"single-family gas-heated homes: natural gas -17.8% (net 181 therms/yr) post-weatherization; PY2008 national WAP evaluation underlying this paper","ORNL companion evaluation reports TM-2014/338 and TM-2015/13 (fetched PDFs, weatherization.ornl.gov)"
10.1016/j.enpol.2018.03.051,Tonn_Rose_Hawkins_2018,energy,7.1,percent,measured,"electricity -7.1% (net 680 kWh/yr) in gas-heated single-family homes post-weatherization, PY2008","ORNL companion evaluation reports TM-2014/338 and TM-2015/13 (fetched PDFs)"
10.1016/j.enpol.2021.112576,Coyne_Denny_2021,energy,1091,kwh,measured,"whole-home energy use -1091 kWh/yr on average (8572 homes, generalised difference-in-difference on two-year whole-home energy data); magnitude depends on measures installed","OpenAlex abstract (fetched)"
10.1016/j.jeem.2017.09.001,Liang_2018,energy,8,percent,measured,"residential buildings: monthly energy -8% (commercial -12%); realized savings 30-50% lower than engineering predictions; fixed-effects panel on 2008-2013 billing data (Energize Phoenix)","Semantic Scholar abstract (fetched)"
10.1016/s0301-4215(00)00023-9,Haas_Biermayr_2000,none,,,,"rebound-effect study: rebound 20-30% for space heating; in 12 retrofitted multi-family dwellings the empirically achieved savings differed from theoretically calculated by 40-100%; no realized-savings % of consumption in fetched content","ScienceDirect abstract (fetched via search)"
