record_id,doi,study_site,track,intervention,climate_tag,lcz_tag,author_year,title,journal,city,country,outcome,design,source_review
B000,10.1002/(sici)1097-0088(199805)18:6<681::aid-joc289>3.0.co;2-l,"gothenburg:Upmanis, Eliasson & Lindqvist 1998",B,greening,,,"Upmanis, Eliasson & Lindqvist 1998","The influence of green areas on nocturnal temperatures in a high latitude city (Goteborg, Sweden)",International Journal of Climatology,Gothenburg,Sweden,park nocturnal cooling and extent beyond boundary,mobile traverses,Knight et al. 2021 Environ Evid (Additional file 7)
B001,10.1002/joc.1330,"tel-aviv:Potchter, Cohen & Bitan 2006",B,greening,,,"Potchter, Cohen & Bitan 2006","Climatic behaviour of various urban parks during hot and humid summer in the Mediterranean city of Tel Aviv, Israel",International Journal of Climatology,Tel Aviv,Israel,park cool island day/night behaviour,multi-park field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
B002,10.1007/978-981-19-9822-5_315,paris:Karam_2023,B,combined,,,Karam_2023,Spatial Microclimatic Characterization of a Parisian 'Oasis' Schoolyard,Proceedings of the 5th International Conference on Building Energy and Environment (Springer),Paris,France,"Microclimatic performance of implemented unsealed and greened OASIS schoolyard vs paired control, before (2019) and after (2021) works",BACI design with fixed weather stations plus mobile summer campaigns,cited in arXiv 2408.08317 ref [24]; abstract fetched via doi.org
B003,10.1007/bf01040959,mexico-city:Barradas 1991,B,greening,,,Barradas 1991,Air temperature and humidity and human comfort index of some city parks of Mexico City,International Journal of Biometeorology,Mexico City,Mexico,park air temperature and humidity reduction,in-park vs street field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B004,10.1007/s00376-009-0283-x,seoul:Kim_2009,B,combined,,,Kim_2009,Restoration of an inner-city stream and its impact on air temperature and humidity based on long-term monitoring data,Advances in Atmospheric Sciences,Seoul,South Korea,Long-term monitored air temperature and humidity changes around Cheonggyecheon after stream restoration (highway removal + water + greenway),Before-after long-term station monitoring of implemented urban stream restoration,Landscape Performance Series case study (doi.org/10.31353/cs0140)
B005,10.1007/s00484-015-1014-x,tbd:Konarska et al. 2015,B,greening,,,Konarska et al. 2015,Transpiration of urban trees and its cooling effect in a high latitude city,International Journal of Biometeorology,TBD,Sweden,urban tree transpiration and cooling,field measurement of trees,Knight et al. 2021 Environ Evid (Additional file 7)
B006,10.1007/s00704-010-0293-8,phoenix:Chow et al. 2011,B,greening,,,Chow et al. 2011,Observing and modelling the nocturnal park cool island of an arid city: horizontal and vertical impacts,Theoretical and Applied Climatology,Phoenix,USA,nocturnal park cool island (air temperature),field observation + modelling,Knight et al. 2021 Environ Evid (Additional file 7)
B007,10.1007/s00704-015-1409-y,tbd:Coutts et al. 2015,B,greening,,,Coutts et al. 2015,Temperature and human thermal comfort effects of street trees across three contrasting street canyon environments,Theoretical and Applied Climatology,TBD,Australia,street tree air temperature and thermal comfort effect,street canyon field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B008,10.1007/s10661-008-0483-3,"athens:Zoulia, Santamouris & Dimoudi 2009",B,greening,,,"Zoulia, Santamouris & Dimoudi 2009",Monitoring the effect of urban green areas on the heat island in Athens,Environmental Monitoring and Assessment,Athens,Greece,green area (National Garden) effect on UHI,urban monitoring network,Knight et al. 2021 Environ Evid (Additional file 7)
B009,10.1007/s12053-012-9164-8,national:Scheer_Clancy_NiHogain_2013,B,retrofit,,,Scheer_Clancy_NiHogain_2013,Quantification of energy savings from Ireland's home energy saving scheme: an ex post billing analysis,Energy Efficiency,national,Ireland,gas use -21% (~3664 kWh/yr) vs control group; ~36% below ex-ante engineering estimate,ex-post billing analysis with control group (difference-in-difference),Adan & Fuerst 2016 reference list; EPATEE Better Energy Homes case study (fetched)
B010,10.1007/s12053-015-9418-3,national-(england-and-wales):Adan_Fuerst_2016,B,retrofit,,,Adan_Fuerst_2016,Do energy efficiency measures really reduce household energy consumption? A difference-in-difference analysis,Energy Efficiency,national (England and Wales),UK,gas use -10.5% after cavity wall insulation alone; -13.3% for cavity wall insulation plus new boiler,difference-in-difference on metered gas/energy (NEED database),fetched full text directly (Springer)
B011,10.1007/s12053-018-9634-8,national-(non-profit-housing):Filippidou_Nieboer_Visscher_2019,B,retrofit,,,Filippidou_Nieboer_Visscher_2019,Effectiveness of energy renovations: a reassessment based on actual consumption savings,Energy Efficiency,national (non-profit housing),Netherlands,actual consumption savings from renovation measures substantially below predicted savings,pre/post actual consumption analysis of renovated dwellings,cited in van den Brom et al. 2019 refs; full text fetched (Springer)
B012,10.1016/0143-6228(85)90005-0,midwestern-city-(unnamed):Brown_Macey_1985,B,retrofit,,,Brown_Macey_1985,Evaluating the impact of two energy conservation programmes in a midwestern city,Applied Geography,midwestern city (unnamed),USA,measured savings from two conservation programmes; storm windows/doors lowest savings,pre/post billing comparison,Giandomenico et al. 2022 Annu Rev Resour Econ
B013,10.1016/0360-1323(85)90024-1,north-central-us-(region):Hirst_Goeltz_1985,B,retrofit,,,Hirst_Goeltz_1985,Comparison of actual energy savings with audit predictions for homes in the north central region of the U.S.A.,Building and Environment,north-central US (region),USA,actual savings below audit predictions,measured vs predicted pre/post billing comparison,Giandomenico et al. 2022 Annu Rev Resour Econ
B014,10.1016/0360-5442(84)90107-5,pacific-northwest-(region):Hirst_Bronfman_Goeltz_Trimble_Lerman_Keating_1984,B,retrofit,,,Hirst_Bronfman_Goeltz_Trimble_Lerman_Keating_1984,Evaluation of utility residential energy conservation programs: a Pacific Northwest example,Energy,Pacific Northwest (region),USA,measured electricity savings from utility residential conservation programs,program evaluation with metered consumption and self-selection controls,Giandomenico et al. 2022 Annu Rev Resour Econ
B015,10.1016/0360-5442(88)90085-0,multiple:Goldman_Greely_Harris_1988,B,retrofit,,,Goldman_Greely_Harris_1988,Retrofit experience in U.S. multifamily buildings: energy savings costs and economics,Energy,multiple,USA,measured energy savings and costs in retrofitted multifamily buildings,pre/post billing analysis of multifamily retrofits,Giandomenico et al. 2022 Annu Rev Resour Econ
B016,10.1016/0360-5442(95)00027-e,national:Brown_Berry_1995,B,retrofit,,,Brown_Berry_1995,Determinants of program effectiveness: results of the national weatherization evaluation,Energy,national,USA,measured gas/electricity savings across national WAP; insulation among highest-saving measures,program evaluation with metered billing data,Giandomenico et al. 2022 Annu Rev Resour Econ (10.1146/annurev-resource-111920-124353)
B017,10.1016/0378-7788(85)90018-0,pacific-northwest-(region):Hirst_White_Goeltz_McKinstry_1985,B,retrofit,,,Hirst_White_Goeltz_McKinstry_1985,Actual electricity savings and audit predictions for residential retrofit in the Pacific Northwest,Energy and Buildings,Pacific Northwest (region),USA,actual savings below audit predictions; +0.32 kWh/yr saving per 1 kWh/yr higher baseline use,pre/post metered analysis (BPA pilot),Giandomenico et al. 2022 Annu Rev Resour Econ
B018,10.1016/0378-7788(85)90022-2,multiple:Goldman_1985,B,retrofit,,,Goldman_1985,Measured energy savings from residential retrofits: updated results from the BECA-B project,Energy and Buildings,multiple,USA,compiled measured retrofit savings across residential buildings (BECA-B),compilation of measured pre/post billing data,Giandomenico et al. 2022 Annu Rev Resour Econ
B019,10.1016/0378-7788(86)90005-8,midwest-(region):Goldberg_1986,B,retrofit,,,Goldberg_1986,A midwest low-income weatherization program seen through PRISM,Energy and Buildings,Midwest (region),USA,measured billing savings from low-income weatherization,PRISM weather-normalized pre/post billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
B020,10.1016/0378-7788(86)90008-3,north-central-us-(region):Hewett_1986,B,retrofit,,,Hewett_1986,Measured versus predicted savings from single retrofits: a sample study,Energy and Buildings,north-central US (region),USA,measured savings below audit predictions; furnace retrofit realization rate 78%,measured vs predicted pre/post billing sample study,Giandomenico et al. 2022 Annu Rev Resour Econ
B021,10.1016/0378-7788(86)90010-1,san-francisco-ca:Goldman_Ritschard_1986,B,retrofit,,,Goldman_Ritschard_1986,Energy conservation in public housing: a case study of the San Francisco housing authority,Energy and Buildings,San Francisco CA,USA,measured energy savings in retrofitted public housing,pre/post billing case study,Giandomenico et al. 2022 Annu Rev Resour Econ
B022,10.1016/0378-7788(89)90014-5,hood-river-or:Hirst_Goeltz_Trumble_1989,B,retrofit,,,Hirst_Goeltz_Trumble_1989,Effects of the Hood River Conservation Project on electricity use,Energy and Buildings,Hood River OR,USA,measured electricity savings; previously retrofitted homes saved ~1000 kWh less than first-time retrofitters,pre/post metered analysis of community-wide retrofit project,Giandomenico et al. 2022 Annu Rev Resour Econ
B023,10.1016/0378-7788(89)90017-0,hood-river-or:Brown_White_Purucker_1989,B,retrofit,,,Brown_White_Purucker_1989,Energy savings of water-heater retrofits: evidence from Hood River,Energy and Buildings,Hood River OR,USA,measured electricity savings from water-heater retrofits,pre/post metered analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
B024,10.1016/0378-7788(89)90019-4,not-specified:Lee_Englin_1989,B,retrofit,,,Lee_Englin_1989,Using a model and empirical data to analyze manufactured home conservation retrofits,Energy and Buildings,not specified,USA,measured savings of manufactured-home conservation retrofits; insulation among higher-saving measures,empirical billing data with model comparison,Giandomenico et al. 2022 Annu Rev Resour Econ
B025,10.1016/0378-7788(90)90021-a,mexico-city:Jauregui 1991,B,greening,,,Jauregui 1991,Influence of a large urban park on temperature and convective precipitation in a tropical city,Energy and Buildings,Mexico City,Mexico,large park (Chapultepec) cooling influence,long-term observation,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B026,10.1016/0378-7788(91)90012-r,multiple:Cohen_Goldman_Harris_1991,B,retrofit,,,Cohen_Goldman_Harris_1991,Energy savings and economics of retrofitting single-family buildings,Energy and Buildings,multiple,USA,measured annual savings of 12-21% from loft and wall insulation,before/after billing comparison,Adan & Fuerst 2016 Energy Efficiency reference list (10.1007/s12053-015-9418-3)
B027,10.1016/0378-7788(93)90035-s,colorado-(state):Burch_1993,B,retrofit,,,Burch_1993,A utility bill study of mobile home weatherization savings,Energy and Buildings,Colorado (state),USA,utility-bill measured weatherization savings in mobile homes; realized savings well below predictions,pre/post utility-bill analysis (no control group),Giandomenico et al. 2022 Annu Rev Resour Econ
B028,10.1016/j.apr.2021.01.017,tbd:Jia et al. 2021,B,greening,,,Jia et al. 2021,Effects of roadside green infrastructure on particle exposure: a focus on cyclists and pedestrians on pathways between urban roads and vegetative barriers,Atmospheric Pollution Research,TBD,China,roadside green infrastructure effect on particle exposure,field exposure measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B029,10.1016/j.apr.2022.101514,london:Hajmohammadi_2022,B,low_emission_zone,,,Hajmohammadi_2022,Evaluation of air quality effects of the London ultra-low emission zone by state-space modelling,Atmospheric Pollution Research,London,UK,NO2 reduction inside ULEZ detected (review: ULEZ NO2 reductions mostly 10-20%),state-space time series modelling of monitoring data,Delgado-Lindeman 2025 ETRR review
B030,10.1016/j.atmosenv.2005.08.037,"multiple-sites,-california:Levinson_2005",B,cool_roof,,,Levinson_2005,Effects of soiling and cleaning on the reflectance and solar heat gain of a light-colored roofing membrane,Atmospheric Environment,"multiple sites, California",USA,quantified reflectance loss from soiling and recovery after cleaning on in-service roof membranes,field measurements on installed roofing membranes,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B031,10.1016/j.atmosenv.2008.09.015,stockholm:Johansson_2009,B,low_emission_zone,,,Johansson_2009,The effects of congestion tax on air quality and health,Atmospheric Environment,Stockholm,Sweden,NOx and PM10 emission and concentration reductions in inner city during 2006 congestion tax trial,evaluation of real trial (traffic measurements plus dispersion modelling),fetched primary paper; cited in road pricing literature
B032,10.1016/j.atmosenv.2011.04.008,milan:Invernizzi_2011,B,low_emission_zone,,,Invernizzi_2011,"Measurement of black carbon concentration as an indicator of air quality benefits of traffic restriction policies within the Ecopass zone in Milan, Italy",Atmospheric Environment,Milan,Italy,Black carbon/PM10 ratio -47% in Ecopass zone vs no-restriction zone; PM10/PM2.5/PM1 mass not significant,spatial monitoring campaign inside vs outside charging zone,fetched primary paper; also cited in Urban Road Pricing comparative review (10.1016/j.trpro.2016.05.062)
B033,10.1016/j.atmosenv.2011.12.050,london-and-birmingham:Jones_2012,B,low_emission_zone,,,Jones_2012,A large reduction in airborne particle number concentrations at the time of the introduction of 'sulphur free' diesel and the London Low Emission Zone,Atmospheric Environment,London and Birmingham,UK,NOx -33% to -65% and PM10 -30% to -59% around LEZ introduction; attributed mainly to sulphur-free fuel,interrupted time series of particle counts 2005-2010,Delgado-Lindeman 2025 ETRR review
B034,10.1016/j.atmosenv.2013.12.035,amsterdam:Panteliadis_2014,B,low_emission_zone,,,Panteliadis_2014,Implementation of a low emission zone and evaluation of effects on air quality by long-term monitoring,Atmospheric Environment,Amsterdam,Netherlands,Elemental carbon -12.9%; PM10 -5.8%; NO2 -4.9%; NOx -5.9%,long-term before/after monitoring (multivariate regression with meteorology),Delgado-Lindeman 2025 ETRR review
B035,10.1016/j.atmosenv.2015.09.064,lisbon:Ferreira_2015,B,low_emission_zone,,,Ferreira_2015,Air quality improvements following implementation of Lisbon's low emission zone,Atmospheric Environment,Lisbon,Portugal,PM10 -23%; NO2 -12% after LEZ phase 2 (2011-2013 monitoring),"before/after monitoring, inside vs outside zone trend analysis",Delgado-Lindeman 2025 ETRR review (10.1186/s12544-025-00749-2)
B036,10.1016/j.atmosenv.2018.12.036,tbd:Abhijith & Kumar 2019,B,greening,,,Abhijith & Kumar 2019,Field investigations for evaluating green infrastructure effects on air quality in open-road conditions,Atmospheric Environment,TBD,UK,PM concentration reduction behind roadside green infrastructure,open-road field campaign,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B037,10.1016/j.atmosenv.2021.118189,modena:Donateo et al. 2021,B,greening,,,Donateo et al. 2021,"An evaluation of the performance of a green panel in improving air quality, the case study in a street canyon in Modena, Italy",Atmospheric Environment,Modena,Italy,green panel effect on street canyon air quality,street canyon field campaign,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B038,10.1016/j.atmosenv.2024.120326,madrid:Morillas_2024,B,low_emission_zone,,,Morillas_2024,Impact of the implementation of Madrid's low emission zone on NO2 concentration using Sentinel-5P/TROPOMI data,Atmospheric Environment,Madrid,Spain,NO2 reduction inside LEZ detected from satellite column data,before/after satellite (TROPOMI) observation analysis,Delgado-Lindeman 2025 ETRR review
B039,10.1016/j.buildenv.2005.07.030,"singapore:Hien, Yok & Yu 2007",B,greening,,,"Hien, Yok & Yu 2007",Study of thermal performance of extensive rooftop greenery systems in the tropical climate,Building and Environment,Singapore,Singapore,extensive green roof thermal performance,field monitoring of roof systems,Knight et al. 2021 Environ Evid (Additional file 7)
