doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1016/j.atmosenv.2005.08.037,Levinson_2005,none,,,,study quantifies solar reflectance loss from soiling (solar reflectance ratio 0.41-0.89) and near-complete recovery after cleaning; no temperature or energy effect size reported,"Aggarwal & Molleti 2024 (Buildings 14:2257) full text, fetched"
10.1016/j.buildenv.2006.06.005,Levinson_2007,thermal_surface,12,degC,measured,"roof tile surface temp reduction for 0.3 solar absorptance decrease, 1 kW/m2 summer afternoon insolation, scale-model measurements","LBNL/OSTI abstract of primary study, fetched via web search"
10.1016/j.buildenv.2006.06.005,Levinson_2007,thermal_air,6.2,degC,measured,"attic air temperature reduction, same scale-model conditions","LBNL/OSTI abstract of primary study, fetched via web search"
10.1016/j.buildenv.2006.06.005,Levinson_2007,energy,5,percent,modeled,"annual cooling energy saving for typical 139 m2 house, Fresno (6% San Bernardino, 1% San Diego), estimated from scale-model + energy data","LBNL/OSTI abstract of primary study, fetched via web search"
10.1016/j.buildenv.2010.06.014,Synnefa_2011,thermal_surface,12,degC,measured,"max surface temp difference, off-white thin-layer asphalt vs conventional black asphalt, outdoor summer testing Athens",primary abstract (ScienceDirect page via web search)
10.1016/j.buildenv.2010.06.014,Synnefa_2011,thermal_air,5,degC,modeled,"average air temp decrease if conventional road asphalt replaced, CFD simulation, low wind speed",primary abstract (ScienceDirect page via web search)
10.1016/j.buildenv.2011.08.011,Xu_2012,energy,20,percent,measured,"annual AC energy use reduction, range 14-26% (= 20-22 kWh/m2/yr of coated roof area), monitored commercial building Hyderabad","Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001) full text, fetched"
10.1016/j.buildenv.2012.01.022,Santamouris_2012b,thermal_surface,7.6,degC,measured,"max cool vs conventional pavement surface difference, 4 Aug campaign (5.4 K on 27 Jul); park surface reduced up to 12 K before/after, 4500 m2 Flisvos park","primary full-text PDF (edulll repository), fetched via web search"
10.1016/j.buildenv.2012.01.022,Santamouris_2012b,thermal_air,1.9,degC,modeled,"peak ambient temp reduction on typical summer day, CFD-homogenized before/after comparison","primary full-text PDF (edulll repository), fetched via web search"
10.1016/j.buildenv.2012.11.004,Carnielo_2013,thermal_surface,19.3,degC,measured,"max off-white cool coating vs conventional asphalt (grey 10.0 degC; off-white mean 8.2 degC), outdoor monitoring Rome","Carnielo & Zinzi data table in Wan et al. asphalt cooling review (J Traffic Transp Eng 2021), fetched"
10.1016/j.buildenv.2012.11.004,Carnielo_2013,energy,19,percent,modeled,"peak cooling demand reduction of typical Italian dwellings, TRNSYS, highest solar reflectance configuration",primary abstract (ScienceDirect page via web search)
10.1016/j.buildenv.2018.05.033,Wang_2018,thermal_surface,10,degC,measured,"max surface temp reduction of permeable brick and porous concrete after water sprinkling, 4-day field campaign Guangzhou","primary abstract (Semantic Scholar), fetched"
10.1016/j.buildenv.2018.05.033,Wang_2018,thermal_air,1,degC,measured,max air temp reduction above permeable pavement after sprinkling vs non-sprinkling,"primary abstract (Semantic Scholar), fetched"
10.1016/j.conbuildmat.2015.04.043,Zheng_2015,thermal_surface,10,degC,measured,"outdoor field cooling of best heat-reflective coating (scheme 5); lab specimens up to 30 degC, summer Xi'an","primary abstract (KB Artikelvinder), fetched via web search"
10.1016/j.cscm.2016.01.001,Higashiyama_2016,thermal_surface,10,degC,measured,"water-retaining pavements >=10 degC cooler than porous asphalt exceeding 60 degC; best mixture ~20 degC, summer field sites Hyogo","primary abstract (Semantic Scholar), fetched"
10.1016/j.enbuild.2004.11.013,Akbari_2005,energy,38,percent,measured,"AC energy savings, monitored California commercial buildings, review table range 22-54% (midpoint reported; body cites 31-52% by conditioned area)","Rawat & Singh 2022 full text Table 1, fetched"
